"Route","hour","x_hat"
"72",7,41.6296296296296
"72",8,47.2962962962963
"72",9,49
"72",10,44.1851851851852
"72",11,51.3333333333333
"72",12,45.5925925925926
"72",13,45.4444444444444
"72",14,42.1111111111111
"72",15,44
"72",16,45.8076923076923
"72",17,45.0740740740741
"72",18,42.8888888888889
"72",19,32.4230769230769
"72",20,36.4545454545455
"72",21,36.2727272727273
"72",22,24.8181818181818
"72",23,13.4285714285714
"73",6,1
"73",7,2.17647058823529
"73",8,2.33333333333333
"73",9,2.07692307692308
"73",10,1.7
"73",11,1.5
"73",12,2.08333333333333
"73",13,2.35714285714286
"73",14,2.18181818181818
"73",15,1.53846153846154
"73",16,1.93333333333333
"73",17,2.08333333333333
"73",18,1.625
"73",19,1.33333333333333
"75",6,2
"75",7,2.72727272727273
"75",8,3.14285714285714
"75",9,1.7
"75",10,2.66666666666667
"75",11,2.21428571428571
"75",12,2.15384615384615
"75",13,2.36363636363636
"75",14,2.28571428571429
"75",15,2.44444444444444
"75",16,3.41176470588235
"75",17,2.93333333333333
"75",18,1.14285714285714
"76",6,1.46153846153846
"76",7,1
"76",8,1.66666666666667
"76",9,1.16666666666667
"76",10,1.625
"76",11,2
"76",12,1
"76",13,1.58333333333333
"76",14,1.90909090909091
"76",15,1.45454545454545
"76",16,1.8
"76",17,1
"76",18,1.41666666666667
"78",5,1.53333333333333
"78",6,9.09090909090909
"78",7,5.83333333333333
"78",8,6.6
"78",9,8.90909090909091
"78",10,7.78260869565217
"78",11,7.31818181818182
"78",12,7.56521739130435
"78",13,6.1304347826087
"78",14,9.08695652173913
"78",15,7.68181818181818
"78",16,7.59090909090909
"78",17,5.68181818181818
"78",18,7.18181818181818
"78",19,8.0952380952381
"78",20,8.4
"78",21,9.81818181818182
"78",22,3.22222222222222
"78",23,2
"80",5,1.92857142857143
"80",6,2.28571428571429
"80",7,3.85
"80",8,2.91666666666667
"80",9,3.21052631578947
"80",10,2.81818181818182
"80",11,2
"80",12,4.76470588235294
"80",13,2.11111111111111
"80",14,2.17647058823529
"80",15,3.3
"80",16,1.2
"80",17,4.10526315789474
"80",18,2.66666666666667
"80",19,3.28571428571429
"87",6,1.5
"87",7,1.33333333333333
"87",8,1.66666666666667
"87",10,1
"87",11,1
"87",12,2
"87",13,1.4
"87",14,1.58333333333333
"87",15,1.54545454545455
"87",16,1.81818181818182
"87",17,1.25
"87",18,1.33333333333333
"87",19,1.71428571428571
"87",20,1.85714285714286
"87",21,1.8
"92",5,33.5714285714286
"92",6,82.6470588235294
"92",7,223.318181818182
"92",8,100.733333333333
"92",9,144.928571428571
"92",10,112.571428571429
"92",11,104.8
"92",12,82.55
"92",13,116.666666666667
"92",14,102.952380952381
"92",15,215.545454545455
"92",16,116.333333333333
"92",17,91.9444444444444
"92",18,119.5
"92",19,119.666666666667
"92",20,109.117647058824
"92",21,132.588235294118
"92",22,120.888888888889
"95",5,3.15384615384615
"95",6,3.2
"95",7,2.53333333333333
"95",14,1.78571428571429
"95",15,2.55555555555556
"95",16,3.21428571428571
"95",17,2.16666666666667
